Material ID,Formula,Chemical System,Density,Volume,Number of Sites,Number of Elements,Crystal System,Space Group Number,Mean Atomic Mass,Volume per Atom
mp-646895,SiO2,Si-O,1.6799211271750416,1900.5145127781043,96,2,Monoclinic,15,20.0281,19.79702617477192
mp-651707,SiO2,Si-O,1.933140803417479,1445.1224490555485,84,2,Monoclinic,15,20.028100000000002,17.20383867923272
mp-653763,SiO2,Si-O,1.6762487215168946,3333.186938601607,168,2,Orthorhombic,67,20.028100000000002,19.840398444057183
mp-662706,SiO2,Si-O,1.8472967684913637,1512.2774098096618,84,2,Monoclinic,12,20.028100000000002,18.00330249773407
mp-663422,SiO2,Si-O,2.0117100849370266,396.76622720448563,24,2,Triclinic,1,20.0281,16.531926133520233
mp-667368,SiO2,Si-O,1.622456377147193,1967.8276269791306,96,2,Orthorhombic,71,20.0281,20.498204447699276
mp-667371,SiO2,Si-O,1.8202988384500174,3069.4137832693964,168,2,Orthorhombic,57,20.028100000000002,18.27032013850831
mp-667373,SiO2,Si-O,1.7734538520759242,3150.490968720486,168,2,Orthorhombic,53,20.028100000000002,18.752922432860036
mp-667376,SiO2,Si-O,1.79727850990519,3108.728176303902,168,2,Orthorhombic,64,20.028100000000002,18.50433438276132
mp-667377,SiO2,Si-O,1.7983088563970027,3106.947021104082,168,2,Orthorhombic,64,20.028100000000002,18.49373226847668
mp-667383,SiO2,Si-O,1.7445321231237088,1601.3606944661433,84,2,Monoclinic,12,20.028100000000002,19.06381779126361
mp-667448,SiO2,Si-O,1.7485626503561218,2738.861957735806,144,2,Tetragonal,82,20.028100000000002,19.01987470649865
mp-669426,SiO2,Si-O,2.3555881574771846,338.84472465871204,24,2,Monoclinic,14,20.0281,14.118530194113001
mp-673168,SiO2,Si-O,1.4664353947197581,204.11194643411517,9,2,Monoclinic,5,20.028100000000002,22.67910515934613
mp-673849,Si6O13,Si-O,1.9511782215631506,1281.6903906413418,76,2,Monoclinic,6,19.816063157894735,16.86434724528081
mp-680204,SiO2,Si-O,2.0200475106236446,1086.6037532225982,66,2,Monoclinic,12,20.028100000000002,16.46369323064543
mp-680222,SiO2,Si-O,1.0697094030779817,4476.983851874166,144,2,Hexagonal,191,20.028100000000002,31.090165638015044
mp-683947,SiO2,Si-O,2.1517452978032923,370.94474956889024,24,2,Triclinic,2,20.0281,15.456031232037093
mp-683952,SiO2,Si-O,2.1381457338025203,2239.824745369951,144,2,Cubic,223,20.028100000000002,15.55433850951355
mp-683953,SiO2,Si-O,2.075510886627183,2307.418262479257,144,2,Cubic,230,20.028100000000002,16.02373793388373
mp-683970,SiO2,Si-O,1.5522171765416601,4113.747136379569,192,2,Orthorhombic,47,20.0281,21.425766335310257
mp-685105,SiO4,Si-O,1.9821639265592215,231.42523646269996,15,2,Triclinic,1,18.41662,15.42834909751333
mp-685184,SiO2,Si-O,2.2708496836906757,1318.0836445751347,90,2,Triclinic,1,20.0281,14.645373828612607
mp-6922,SiO2,Si-O,2.435363186396876,122.90445400834437,9,2,Hexagonal,180,20.028100000000002,13.656050445371598
mp-6930,SiO2,Si-O,2.6322575685205125,113.71113006405524,9,2,Trigonal,154,20.028100000000002,12.634570007117249
mp-6945,SiO2,Si-O,2.309027516318023,172.83869832405802,12,2,Tetragonal,92,20.0281,14.403224860338169
mp-6947,SiO2,Si-O,4.134211700498967,48.26667563572915,6,2,Tetragonal,136,20.0281,8.044445939288192
mp-7000,SiO2,Si-O,2.634242418262655,113.6254509687595,9,2,Trigonal,152,20.028100000000002,12.625050107639943
mp-7029,SiO2,Si-O,2.336017323458337,170.84175973661502,12,2,Tetragonal,96,20.0281,14.236813311384585
mp-707135,Al2Si4O11,Si-Al-O,2.468967167008239,230.217721085039,17,3,Triclinic,2,20.13520454117647,13.542218887355235
mp-7087,SiO2,Si-O,1.9706992687989644,202.51152300780183,12,2,Hexagonal,194,20.0281,16.875960250650152
mp-726107,Al(SiO3)2,Si-Al-O,1.7329363373275,1373.3167470404542,72,3,Tetragonal,142,19.905437622222223,19.073843708895197
mp-726892,Al(SiO3)2,Si-Al-O,2.5535360736057915,465.99507996106735,36,3,Monoclinic,15,19.905437622222223,12.944307776696315
mp-731836,Al(Si2O5)2,Si-Al-O,2.276124781183431,218.36608913850884,15,3,Monoclinic,5,19.954502573333336,14.55773927590059
mp-731864,Si6O13,Si-O,1.3226885441421063,945.3496773982312,38,2,Monoclinic,12,19.816063157894735,24.877623089427136
mp-731939,Al2Si2O7,Si-Al-O,2.1122842026328095,349.2478322805713,22,3,Triclinic,1,20.1936252,15.874901467298695
mp-732264,Al(SiO3)2,Si-Al-O,2.621743162379323,226.9358920962138,18,3,Triclinic,2,19.905437622222223,12.607549560900766
